## to be used for replicating the Pb isotope clustering only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE
GM00_example,2.46429,0.00124716,1.19719,0.000803071
GM00_example,2.48572,0.00507356,1.20905,0.00378196
GM00_example,2.46113,0.0120248,1.19535,0.00414201
GM00_example,2.45918,0.00234971,1.1902,0.00213211
GM00_example,2.45394,0.00250925,1.18641,0.00295729
GM00_example,2.46539,0.00038244,1.19712,0.000300806
GM00_example,2.46664,0.000347651,1.19947,0.000250225
GM00_example,2.46451,0.000554348,1.19902,0.000305996
GM00_example,2.46655,0.000581294,1.19791,0.00040754
GM00_example,2.46453,0.00124579,1.20003,0.000567254
GM00_example,2.46608,0.000648168,1.19817,0.000548813
GM00_example,2.46485,0.000316987,1.1973,0.000222864
GM00_example,2.46381,0.000687481,1.19788,0.000490456
GM00_example,2.46325,0.000359848,1.19695,0.000234656
GM00_example,2.46716,0.000285895,1.20094,0.000165707
GM00_example,2.44984,0.000318748,1.19338,0.000202681
GM00_example,2.46529,0.00038754,1.19869,0.000221991
GM00_example,2.46275,0.000681939,1.1967,0.000558357
GM00_example,2.46353,0.000724811,1.19909,0.000394164
GM00_example,2.46606,0.000285245,1.19948,0.000165483
GM00_example,2.46547,0.000433052,1.19659,0.000250659
GM00_example,2.46385,0.000351596,1.19841,0.0002054
GM00_example,2.46618,0.000446167,1.20104,0.000253844
GM00_example,2.46379,0.00050559,1.19663,0.000272593
GM00_example,2.46566,0.000521398,1.19705,0.00029348
GM00_example,2.4646,0.000521656,1.19751,0.000285887
GM00_example,2.4644,0.00034223,1.19712,0.000204685
GM00_example,2.4685,0.00299248,1.19732,0.00172188
GM00_example,2.46423,0.00046131,1.19672,0.000258703
GM00_example,2.46533,0.000414673,1.19894,0.000230034
GM00_example,2.46421,0.000429618,1.19846,0.000245153
GM00_example,2.46332,0.00042001,1.19684,0.000282094
GM00_example,2.46508,0.000607587,1.19645,0.000283165
GM00_example,2.46456,0.000298923,1.19855,0.000218314
GM00_example,2.46477,0.00114896,1.19519,0.000869334
GM00_example,2.46537,0.00059912,1.19703,0.000350554
GM00_example,2.46536,0.000722886,1.20029,0.000437346
GM00_example,2.46742,0.00061177,1.19829,0.000365314
GM00_example,2.46703,0.000215473,1.19796,0.000147005
GM00_example,2.46732,0.000857394,1.19872,0.000504571
GM00_example,2.46581,0.00220471,1.19773,0.00159974
GM00_example,2.46657,0.000297462,1.19827,0.000177906
GM00_example,2.46646,0.000354386,1.19824,0.000229802
GM00_example,2.46534,0.000446269,1.19844,0.000271694
GM00_example,2.46723,0.00036757,1.19853,0.000221836
GM00_example,2.46788,0.00041964,1.19803,0.000233097
GM00_example,2.46601,0.000306658,1.19814,0.00011115
GM00_example,2.46864,0.000502957,1.20045,0.000276595
GM00_example,2.46651,0.000421097,1.19975,0.000271874
GM00_example,2.46599,0.000434709,1.19978,0.000246622
GM00_example,2.46686,0.000592704,1.19818,0.00030599
GM00_example,2.46568,0.000602275,1.20026,0.000322772
GM00_example,2.47288,0.000897915,1.21453,0.000707457
GM00_example,2.46768,0.00262056,1.1971,0.00173469
GM00_example,2.46601,0.000311983,1.19688,0.000213504
GM00_example,2.46854,0.00268232,1.19989,0.00178365
GM00_example,2.46828,0.000299942,1.20111,0.000236934
GM00_example,2.46809,0.000237871,1.20126,0.000129738
GM00_example,2.4666,0.000477252,1.19796,0.000277894
GM00_example,2.46865,0.00210232,1.20164,0.00107217
GM00_example,2.47406,0.00170914,1.20071,0.00089063
GM00_example,2.46553,0.000290685,1.1972,0.000211584
GM00_example,2.46765,0.000447329,1.19823,0.000239844
GM00_example,2.46815,0.00131147,1.20323,0.000807158
GM00_example,2.46246,0.000469468,1.19678,0.000396488
GM00_example,2.46958,0.000654365,1.20153,0.000472018
GM00_example,2.46768,0.000172906,1.19907,0.000106841
GM00_example,2.46615,0.000224861,1.19848,0.000114736
GM00_example,2.46642,0.000229838,1.1983,0.000146191
GM00_example,2.46558,0.00046914,1.19848,0.000335672
GM00_example,2.46886,0.000235649,1.19767,0.000143377
GM00_example,2.4682,0.000401292,1.19761,0.000232241
GM00_example,2.46619,0.000417019,1.19797,0.000209532
GM00_example,2.49627,0.00336284,1.22669,0.00290774
GM00_example,2.46585,0.000433598,1.2001,0.000250352
GM00_example,2.4679,0.00027246,1.19743,0.000246496
GM00_example,2.46735,0.00077357,1.19755,0.000575316
GM00_example,2.46734,0.00031951,1.1974,0.000216611
GM00_example,2.46794,0.000219538,1.19738,0.000126111
GM00_example,2.47371,0.00212973,1.20195,0.00196602
GM00_example,2.46932,0.00353245,1.19619,0.00238807
GM00_example,2.46787,0.00102414,1.20157,0.000667294
GM00_example,2.46726,0.000772843,1.20042,0.000423254
GM00_example,2.46329,0.00318426,1.19797,0.000459836
GM00_example,2.46327,0.000336117,1.19637,0.000198286
GM00_example,2.46387,0.000345428,1.19701,0.00019901
GM00_example,2.46669,0.000471872,1.2004,0.000288361
GM00_example,2.46645,0.000442421,1.19929,0.000267443
GM00_example,2.46743,0.000794524,1.20006,0.000374012
GM00_example,2.46691,0.000612794,1.19913,0.000389102
GM00_example,2.46382,0.000469899,1.19865,0.000296256
GM00_example,2.4559,0.00167875,1.19064,0.000570773
GM00_example,2.46373,0.000682327,1.19924,0.00040414
GM00_example,2.44361,0.00127643,1.18277,0.000853238
